timestamp,cpu_usage,memory_usage,disk_usage,network_io,pod_status
2025-01-01 00:00:00,54.96714153011233,49.82257904269167,21.74143123833409,991,1
2025-01-01 00:05:00,48.61735698828815,55.41750805419521,21.42261856273834,597,0
2025-01-01 00:10:00,56.47688538100692,51.03928408432286,15.329401971092556,975,0
2025-01-01 00:15:00,65.23029856408026,61.65627070419179,22.91592290899871,571,0
2025-01-01 00:20:00,47.65846625276664,77.95767797192869,12.573589022356934,763,0
2025-01-01 00:25:00,47.6586304305082,48.43436764288193,16.75908137149839,407,0
2025-01-01 00:30:00,65.79212815507391,75.01230746652621,10.040564535870995,558,0
2025-01-01 00:35:00,57.67434729152909,48.274918914796686,27.835136785234116,613,0
2025-01-01 00:40:00,45.30525614065048,47.28559181254674,18.89025733075357,602,0
2025-01-01 00:45:00,55.42560043585965,72.2789192751482,30.88842557462161,143,0
2025-01-01 00:50:00,45.365823071875376,73.82904567011425,24.074755633197537,140,2
2025-01-01 00:55:00,45.34270246429743,72.77114905143982,22.30649766741519,937,0
2025-01-01 01:00:00,52.41962271566034,40.26303887672788,17.140868729315077,362,0
2025-01-01 01:05:00,30.86719755342202,53.01073532891924,14.84625762234298,393,0
2025-01-01 01:10:00,32.75082167486967,72.34482888004982,22.69886627032481,784,0
2025-01-01 01:15:00,44.37712470759027,60.62312760845842,19.73243895453518,108,0
2025-01-01 01:20:00,39.87168879665576,43.89460730703804,13.39965802353359,152,0
2025-01-01 01:25:00,53.142473325952736,66.87476908688163,12.517718118478513,895,0
2025-01-01 01:30:00,40.91975924478789,49.27789111512794,15.31449215536219,227,0
2025-01-01 01:35:00,35.87696298664709,86.91787272588319,29.21884752747127,630,0
2025-01-01 01:40:00,64.65648768921554,83.17262193627388,31.18640159125664,743,0
2025-01-01 01:45:00,47.74223699513465,69.06146139533351,21.150958337804678,624,0
2025-01-01 01:50:00,50.67528204687924,80.4151005715466,20.87672718252657,831,0
2025-01-01 01:55:00,35.75251813786544,60.97187025185072,18.45641194223253,878,0
2025-01-01 02:00:00,44.556172754748175,71.48156241562523,15.471587659892634,856,0
